,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
natal,br,12/9/2017,12/9/2017 14:00,40,62,-5.79,-35.21,86,13.87
okhotsk,ru,12/9/2017,12/9/2017 14:44,0,100,59.38,143.3,-8.31,7.76
sivaki,ru,12/9/2017,12/9/2017 14:47,12,33,52.63,126.75,-22.66,4.74
twentynine palms,us,12/9/2017,12/9/2017 13:56,1,21,34.14,-116.05,60.8,6.93
lima,pe,12/9/2017,12/9/2017 14:43,12,62,-12.04,-77.03,69.41,2.28
karpathos,gr,12/9/2017,12/9/2017 14:20,20,55,35.51,27.21,64.4,12.75
dennery,lc,12/9/2017,12/9/2017 14:00,20,69,13.9,-60.89,82.4,12.75
chokurdakh,ru,12/9/2017,12/9/2017 14:47,68,71,70.63,147.92,-5.16,8.77
tuatapere,nz,12/9/2017,12/9/2017 14:47,56,97,-46.13,167.68,57.4,21.63
ardon,ru,12/9/2017,12/9/2017 14:00,12,75,43.17,44.29,41,2.24
sao jose da coroa grande,br,12/9/2017,12/9/2017 14:47,20,67,-8.9,-35.15,87.5,16.04
thompson,ca,12/9/2017,12/9/2017 14:30,90,84,55.74,-97.86,3.2,2.73
kutum,sd,12/9/2017,12/9/2017 14:47,24,31,14.2,24.67,77.78,5.53
hamilton,bm,12/9/2017,12/9/2017 13:55,75,83,32.29,-64.78,73.4,21.92
yar-sale,ru,12/9/2017,12/9/2017 14:47,88,91,66.83,70.83,17.12,6.98
labuhan,id,12/9/2017,12/9/2017 14:47,92,100,-6.88,112.21,78.5,4.29
tsagan aman,ru,12/9/2017,12/9/2017 14:47,0,83,47.56,46.72,21.89,6.76
sembakung,id,12/9/2017,12/9/2017 14:47,20,94,3.82,117.25,77.11,2.17
belfast,za,12/9/2017,12/9/2017 14:47,20,59,-25.69,30.04,69.28,6.76
provideniya,ru,12/9/2017,12/9/2017 14:47,0,100,64.38,-173.3,20,16.15
saint george,bm,12/9/2017,12/9/2017 13:55,75,83,32.38,-64.68,73.4,21.92
lensk,ru,12/9/2017,12/9/2017 14:48,48,29,60.73,114.93,-20.5,6.64
aquiraz,br,12/9/2017,12/9/2017 14:00,75,58,-3.9,-38.39,87.8,11.41
teahupoo,pf,12/9/2017,12/9/2017 14:30,68,74,-17.83,-149.27,78.8,5.82
margate,za,12/9/2017,12/9/2017 14:48,36,78,-30.86,30.37,74.81,28.12
byron bay,au,12/9/2017,12/9/2017 14:00,68,77,-28.65,153.62,69.8,13.87
mehamn,no,12/9/2017,12/9/2017 14:48,88,100,71.04,27.85,24.55,15.82
naze,jp,12/9/2017,12/9/2017 14:48,68,100,28.37,129.48,62.08,8.55
mwene-ditu,cd,12/9/2017,12/9/2017 14:48,64,89,-7,23.45,75.13,4.74
sibu,my,12/9/2017,12/9/2017 14:00,75,94,2.3,111.82,75.2,4.7
hovd,mn,12/9/2017,12/9/2017 14:48,20,62,48.01,91.64,-10.69,1.95
coahuayana,mx,12/9/2017,12/9/2017 13:46,75,45,18.73,-103.68,66.2,23.04
tuktoyaktuk,ca,12/9/2017,12/9/2017 14:00,90,84,69.45,-133.04,5,18.34
tasiilaq,gl,12/9/2017,12/9/2017 13:50,75,100,65.61,-37.64,32,26.4
eskisehir,tr,12/9/2017,12/9/2017 13:50,40,61,39.78,30.52,46.4,9.17
east london,za,12/9/2017,12/9/2017 14:00,40,73,-33.02,27.91,69.8,29.97
qasigiannguit,gl,12/9/2017,12/9/2017 13:50,75,47,68.82,-51.19,37.4,12.75
kavaratti,in,12/9/2017,12/9/2017 14:48,0,100,10.57,72.64,81.61,10.89
mount gambier,au,12/9/2017,12/9/2017 14:48,92,88,-37.83,140.77,57.53,2.73
ulaangom,mn,12/9/2017,12/9/2017 14:48,0,23,49.98,92.07,-19.96,1.95
tomatlan,mx,12/9/2017,12/9/2017 14:48,20,50,19.93,-105.25,68.96,3.74
sukhinichi,ru,12/9/2017,12/9/2017 14:48,68,92,54.1,35.34,28.78,8.99
oussouye,sn,12/9/2017,12/9/2017 14:48,64,71,12.48,-16.55,84.76,11.56
carutapera,br,12/9/2017,12/9/2017 14:48,68,66,-1.2,-46.02,86.69,10.78
alofi,nu,12/9/2017,12/9/2017 14:00,92,94,-19.06,-169.92,73.4,8.1
amga,ru,12/9/2017,12/9/2017 14:48,64,0,60.9,131.96,-33.28,4.18
sal rei,cv,12/9/2017,12/9/2017 14:00,20,51,16.18,-22.92,82.4,13.87
